"","Area","Year","Week","State","Location","Total_Kes","Duration_of_Outbreak_in_day","Wind_mean_weekly","Rainfall_mm_mean_weekly","Humidity_mean_weekly","Solar_Radiation_Mjm2_mean_weekly","Area_Population"
"3258","Petaling",2015,3,"SELANGOR","Seksyen_17_Flatpkns_17,1",168,38,64.5857142857143,16.4857142857143,1.22857142857143,0,1765495
"3259","Petaling",2015,7,"SELANGOR","Sri_Pjs_10_Ridzuan_Kondo",135,33,67.3714285714286,5.94285714285714,1.27142857142857,0,1765495
"3260","Petaling",2015,5,"SELANGOR","Seksyen_16__Pangsapuri_Anggerik_Indah_",23,44,72.0142857142857,8.51428571428571,1.11428571428571,0,1765495
"3261","Petaling",2015,3,"SELANGOR","Seksyen_9_Kuartersipk_Selangor",1,37,64.5857142857143,16.4857142857143,1.22857142857143,0,1765495
"3262","Petaling",2015,9,"SELANGOR","Tm_Pjs_3_Sri_Manja_Court_Jln_Pjs_3,44",115,62,73.9571428571429,5.68571428571429,1.12857142857143,0,1765495
"3263","Petaling",2015,3,"SELANGOR","Ktpju_1A_Puncak_Nusa_Kelana_Kondo",179,37,64.5857142857143,16.4857142857143,1.22857142857143,0,1765495
"3264","Petaling",2015,5,"SELANGOR","Usj_11,2",60,44,72.0142857142857,8.51428571428571,1.11428571428571,0,1765495
"3265","Petaling",2015,10,"SELANGOR","Kt_Ss_3_Teres_B",1,59,64.8571428571429,15.8857142857143,1.15714285714286,0,1765495
"3266","Petaling",2015,10,"SELANGOR","Pusat_Bandar_Puchong_Jln_Wawasan_3",107,59,64.8571428571429,15.8857142857143,1.15714285714286,0,1765495
"3267","Petaling",2015,3,"SELANGOR","Seksyen_U12__Desa_Alam_Teres_C_:_Jln_U12,9A_,_U12,9F_,_U12,10_,_U12,12_",60,36,64.5857142857143,16.4857142857143,1.22857142857143,0,1765495
"3268","Petaling",2015,10,"SELANGOR","Kt_Pju_3_Palm_Spring_Kondo_2_:_Blok_D,_E,_F",1,58,64.8571428571429,15.8857142857143,1.15714285714286,0,1765495
"3269","Petaling",2015,10,"SELANGOR","Kt_Pju_3_Tropicana_Indah",179,58,64.8571428571429,15.8857142857143,1.15714285714286,0,1765495
"3270","Petaling",2015,5,"SELANGOR","Seksyen_19_Teres_B_:_Jln_19,4_,_19,7B",157,41,72.0142857142857,8.51428571428571,1.11428571428571,0,1765495
"3271","Petaling",2015,10,"SELANGOR","Seksyen_24__Flat_B_:_Blok_10_,_21_",75,58,64.8571428571429,15.8857142857143,1.15714285714286,0,1765495
"3272","Petaling",2015,10,"SELANGOR","Seksyen_U3_Pangsapuri_Daisy_B_:_Blok_3_,_8_",80,58,64.8571428571429,15.8857142857143,1.15714285714286,0,1765495
"3273","Petaling",2015,10,"SELANGOR","Tmn_Puchong_Perdana_Vista_Millennium",43,56,64.8571428571429,15.8857142857143,1.15714285714286,0,1765495
"3274","Petaling",2015,10,"SELANGOR","Usj_6,5_,_Usj_6,7",75,56,64.8571428571429,15.8857142857143,1.15714285714286,0,1765495
"3275","Petaling",2015,3,"SELANGOR","Bandar_Kinrara_5__Jalan_5,2,_5,8_",1,34,64.5857142857143,16.4857142857143,1.22857142857143,0,1765495
"3276","Petaling",2015,10,"SELANGOR","Seksyen_24__Flat_C_:_Blok_22_,_26_",1,55,64.8571428571429,15.8857142857143,1.15714285714286,0,1765495
"3277","Petaling",2015,7,"SELANGOR","Bandar_Kinrara_5B",135,31,67.3714285714286,5.94285714285714,1.27142857142857,0,1765495
"3278","Petaling",2015,3,"SELANGOR","Ktpju_3_Apt_Bayu_Puteri",135,33,64.5857142857143,16.4857142857143,1.22857142857143,0,1765495
"3279","Petaling",2015,12,"SELANGOR","Seksyen_27__Flat_C_:_Blok_31_,_36_",179,52,1.27142857142857,1.05714285714286,72.0714285714286,0,1765495
"3280","Petaling",2015,10,"SELANGOR","Kd_Pju_5_Seksyen_5_Gugusan_Siantan",12,53,64.8571428571429,15.8857142857143,1.15714285714286,0,1765495
"3281","Petaling",2015,12,"SELANGOR","Taman_Lestari_Perdana__Sri_Indah_Apt_",51,51,1.27142857142857,1.05714285714286,72.0714285714286,0,1765495
