Stnno,Year,Month,Day,Rainfall_mm,Wind_mean_24Hr,Humidity,Solar_Radiation_Mjm2
48648,2009,4,21,-33.3,4.2,na,na
48648,2009,4,22,0.0,3.1,na,na
48648,2009,4,23,0.0,3.7,na,na
48648,2009,4,24,0.0,3.1,na,na
48648,2009,4,25,0.0,2.6,na,na
48648,2009,4,26,0.0,2.1,na,na
48648,2009,4,27,4.4,1.4,na,na
48648,2009,4,28,0.0,1.8,na,na
48648,2009,4,29,21.0,1.5,na,na
48648,2009,4,30,0.0,1.8,na,na
48648,2009,5,1,0.0,2.7,na,na
48648,2009,5,2,1.6,3.1,na,na
48648,2009,5,3,0.6,4.9,na,na
48648,2009,5,4,0.8,3.5,na,na
48648,2009,5,5,-33.3,3.5,na,na
48648,2009,5,6,0.0,3.1,na,na
48648,2009,5,7,0.0,2.7,na,na
48648,2009,5,8,0.2,3.5,na,na
48648,2009,5,9,0.0,3.0,na,na
48648,2009,5,10,0.0,3.1,na,na
48648,2009,5,11,0.0,2.9,na,na
48648,2009,5,12,10.2,1.8,na,na
48648,2009,5,13,45.4,1.2,na,na
48648,2009,5,14,2.2,2.1,na,na
48648,2009,5,15,0.0,1.9,na,na
48648,2009,5,16,0.6,1.3,na,na
48648,2009,5,17,3.0,2.3,na,na
48648,2009,5,18,0.0,1.7,na,na
48648,2009,5,19,-33.3,1.4,na,na
48648,2009,5,20,0.0,1.7,na,na
48648,2009,5,21,5.6,1.6,na,na
48648,2009,5,22,0.0,1.4,na,na
48648,2009,5,23,1.6,1.7,na,na
48648,2009,5,24,0.0,1.7,na,na
48648,2009,5,25,0.6,1.8,na,na
48648,2009,5,26,0.2,1.8,na,na
48648,2009,5,27,0.0,1.9,na,na
48648,2009,5,28,0.2,1.6,na,na
48648,2009,5,29,0.0,2.0,na,na
48648,2009,5,30,0.0,1.7,na,na
48648,2009,5,31,1.4,1.3,na,na
48648,2009,6,1,0.4,1.5,na,na
48648,2009,6,2,0.0,1.3,na,na
48648,2009,6,3,0.0,2.2,na,na
48648,2009,6,4,0.0,2.2,na,na
48648,2009,6,5,0.0,2.1,na,na
48648,2009,6,6,0.0,1.6,na,na
48648,2009,6,7,0.2,1.3,na,na
48648,2009,6,8,13.4,1.0,na,na
48648,2009,6,9,0.0,1.4,na,na
48648,2009,6,10,0.0,1.6,na,na
48648,2009,6,11,0.0,1.4,na,na
